################################################################################
IN SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
PRED SEQ:	 b'if you voted for donald trump or know someone who voted for him in the 2020 u . s . presidential elections , do you agree with this piece saying that trump \' s most dedicated supporters are " cooling out " and that " a lot of people have felt abandoned " ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.030755104, 0.16292146, 0.0032131425, 0.0002747293, 0.001508305, 0.00027783038, 0.00096755696, 0.09230597, 0.0036956295, 0.0003101758, 0.00096509315, 7.783703e-05, 0.01086027, 7.026828e-05, 0.0001283383, 0.0059181647, 0.001609076, 0.00039615482, 0.0014704788, 0.00078627595, 0.00012626022, 0.00010350917, 0.00011217172, 0.0026986522, 0.022118043, 0.024831148, 4.2771284e-05, 0.018719781, 0.1615397, 0.16876324, 0.00015911416, 0.00016792855, 3.193902e-05, 6.7332345e-05, 0.008034084, 0.06044223, 0.00105216, 0.005169935, 3.7703016e-05, 0.0010633516, 2.8556584e-05, 1.372389e-05, 0.0015122447, 0.0016158252, 7.789124e-05, 7.488363e-05, 0.00011795282, 2.6471906e-05, 0.00021655066, 7.3995114e-05, 0.000108343804, 0.002903408, 1.5800631e-05, 0.00075354276]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'donald trump said he would leave the country if he lost the 2020 election .'
GOLD SEQ: 	 b'donald trump said he would leave the country if he lost the 2020 election .'
PRED SEQ:	 b'donald trump said he would leave the country if he lost the 2020 election .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010688079, 0.00055499125, 0.55438906, 0.0011017123, 0.001780943, 0.0016539996, 0.00017924028, 0.21827486, 0.0004742685, 0.00023971453, 0.0021817905, 2.8025746e-05, 0.00012318249, 9.4702715e-05, 2.1970538e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why is he still here ?'
GOLD SEQ: 	 b'why is he still here ?'
PRED SEQ:	 b'why is he still here ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.63321346, 0.014078656, 0.16710521, 0.13211823, 0.2677243, 0.04868695]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what are your thoughts on this story that special operations forces are sharing racist comments , lies about the 2020 election , and q ##ano ##n theories in secret facebook groups ?'
GOLD SEQ: 	 b'what are your thoughts on this story that special operations forces are sharing racist comments , lies about the 2020 election , and q ##ano ##n theories in secret facebook groups ?'
PRED SEQ:	 b'what are your thoughts on this story that special operations forces are sharing racist comments , lies about the 2020 election , and q ##ano ##n theories in secret facebook groups ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0027726076, 0.00033461527, 0.007687742, 0.00016406854, 2.4870795e-05, 0.00012550004, 0.0027202037, 2.7908874e-05, 9.220498e-06, 4.659481e-06, 1.1048801e-05, 4.170434e-05, 0.00065828854, 0.08836954, 0.0027649573, 0.00012961279, 0.14868245, 0.0004226547, 4.8837843e-05, 0.000113656584, 0.000114155686, 6.869014e-06, 0.015286911, 0.1669616, 0.2533946, 0.27911773, 0.298744, 0.00026459986, 0.00357868, 2.073261e-05, 1.33952335e-05, 4.5129298e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what will be the number 1 reason trump will use to explain losing reelection : co ##vid - 19 , " fake news " , or something else ?'
GOLD SEQ: 	 b'what will be the number 1 reason trump will use to explain losing reelection : co ##vid - 19 , " fake news " , or something else ?'
PRED SEQ:	 b'what will be the number 1 reason trump will use to explain losing reelection : co ##vid - 19 , " fake news " , or something else ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.039384976, 0.55125344, 0.005293065, 8.693461e-05, 0.0046287496, 0.0047991034, 0.02652188, 0.009208113, 0.013118308, 0.009125943, 3.398704e-05, 0.029375713, 0.025567565, 0.04419094, 3.515707e-05, 0.0007516393, 0.0016887496, 0.0006089917, 8.63411e-05, 1.2294117e-05, 4.098707e-05, 0.0042685363, 6.4056396e-05, 5.40761e-06, 5.1217135e-06, 0.00072468485, 0.006502002, 0.005509159, 0.0030461883]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'will andrew yang make a decent ho ##ka ##ge one day ?'
GOLD SEQ: 	 b'will andrew yang make a decent ho ##ka ##ge one day ?'
PRED SEQ:	 b'will andrew yang make a ho ##ka ##ge one day ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0010780668, 2.3270284e-05, 2.0598065e-05, 0.00085656304, 4.8412217e-05, 0.96389574, 3.5171997e-05, 2.9187187e-05, 2.8152772e-05, 0.00010077626, 1.3012488e-05, 0.00019168758]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'did the 2020 election not even have legislative approval ##s from many states ( which is required under the u . s . constitution ) ?'
GOLD SEQ: 	 b'did the 2020 election not even have legislative approval ##s from many states ( which is required under the u . s . constitution ) ?'
PRED SEQ:	 b'did the 2020 election not have legislative approval ##s from many states ( which is required under the u . s . constitution ) ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.5283184e-05, 2.404451e-06, 4.025174e-06, 2.8848747e-06, 9.7321405e-05, 0.9991392, 3.8642493e-06, 2.9844769e-06, 2.4010687e-06, 1.4171792e-06, 1.1181952e-06, 0.00014446137, 2.0308275e-06, 1.1455827e-06, 4.659339e-06, 2.5343037e-05, 0.00012928408, 2.7270319e-06, 1.5016807e-06, 3.5408343e-06, 1.5038362e-06, 1.985498e-06, 1.8756705e-06, 2.3303737e-06, 1.1703696e-06, 9.253839e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what are your thoughts on the bid ##en administration san ##ction ##ing russia over the solar ##wind ##s hack of federal agencies and 2020 election interference ?'
GOLD SEQ: 	 b'what are your thoughts on the bid ##en administration san ##ction ##ing russia over the solar ##wind ##s hack of federal agencies and 2020 election interference ?'
PRED SEQ:	 b'what are your thoughts on the bid ##en administration san ##ction ##ing russia over the solar ##wind ##s hack of federal agencies and 2020 election interference ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00018349495, 2.2589522e-05, 0.00065432733, 3.7916325e-05, 7.66441e-06, 3.6238005e-06, 1.539412e-05, 4.8910256e-06, 6.9060407e-06, 0.00087288173, 0.001113331, 0.0022544232, 0.0007331636, 9.162679e-05, 2.202781e-05, 0.00019261023, 0.00042563214, 0.00082937104, 0.8036189, 6.597409e-05, 3.7095255e-05, 1.7332271e-05, 1.9133951e-05, 0.00017749194, 5.242686e-05, 0.052497618, 1.9149506e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"why did wall street give $ 43 . 5 million during the 2019 - 2020 election cycle to the 147 republican law ##makers who later voted against joe bid ##en ' s certification as president ?"
GOLD SEQ: 	 b"why did wall street give $ 43 . 5 million during the 2019 - 2020 election cycle to the 147 republican law ##makers who later voted against joe bid ##en ' s certification as president ?"
PRED SEQ:	 b"why did wall street give $ 43 . 5 million during the 2019 - 2020 election cycle to the 147 republican law ##makers who later voted against joe bid ##en ' s certification as president ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1280787, 0.019420592, 0.000115327275, 0.00012490609, 0.018453311, 0.00013393804, 6.3336134e-05, 1.538477e-05, 0.00014796342, 5.9808764e-05, 5.383902e-05, 1.8672088e-05, 5.3703847e-05, 0.00017852323, 9.998007e-05, 5.3252417e-05, 0.00012641211, 0.00010409514, 0.027187012, 0.090416595, 0.115013756, 0.03863062, 0.007723853, 0.0022520402, 0.07856385, 0.0014390203, 0.00069178577, 3.6940914e-05, 1.9421515e-05, 1.5669782e-05, 3.0703628e-05, 0.000111950314, 0.1815185, 0.0002511925, 0.0059635215, 0.051983114]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'were the 2020 elections out of w ##ha ##ck , and what might be the reason ?'
GOLD SEQ: 	 b'were the 2020 elections out of w ##ha ##ck , and what might be the reason ?'
PRED SEQ:	 b'were the 2020 elections out of w ##ha ##ck , and what might be the reason ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00055480923, 4.6526282e-05, 9.5091644e-05, 7.953349e-05, 0.0046864534, 0.00021216151, 0.5637115, 0.8267269, 0.9280373, 2.1202068e-05, 3.8044578e-05, 0.0002695059, 0.008988351, 4.33392e-05, 3.0101744e-05, 0.00065736286, 0.00013252167]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who in the world caused the most deaths in 2020 ?'
GOLD SEQ: 	 b'who in the world caused the most deaths in 2020 ?'
PRED SEQ:	 b'who in the world caused the most deaths in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.18129392, 0.0063110804, 0.0017536426, 0.41592076, 0.14671944, 0.00054057006, 0.011125994, 0.07358533, 0.0051598432, 0.075224735, 0.06722178]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"mari ##co ##pa county in arizona hasn ' t voted blue since harry truman in 1945 , and now the county voted for bid ##en in 2020 ?"
GOLD SEQ: 	 b"mari ##co ##pa county in arizona hasn ' t voted blue since harry truman in 1945 , and now the county voted for bid ##en in 2020 ?"
PRED SEQ:	 b"mari ##co ##pa county in arizona hasn ' t voted since harry truman in 1945 , and now the county voted for bid ##en in 2020 ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.012619067, 0.00087729644, 0.0006546903, 0.0001236761, 0.0001048021, 0.0008833677, 0.0016450163, 6.122548e-05, 0.00012336129, 0.0011943779, 0.73618114, 0.0054969406, 0.0008551886, 0.00016664976, 2.3133496e-05, 0.00031116387, 4.4238786e-06, 3.4581844e-05, 0.009339601, 8.8029585e-05, 0.002264501, 0.0040089, 0.00024931904, 0.00799554, 0.007414414, 6.0987386e-05, 0.0030346017, 0.0056771142]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"why weren ' t there any complaints over voter rights in georgia until after the 2020 presidential election ?"
GOLD SEQ: 	 b"why weren ' t there any complaints over voter rights in georgia until after the 2020 presidential election ?"
PRED SEQ:	 b"why weren ' t there any complaints over voter rights in georgia until after the 2020 presidential election ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14739248, 0.00045054787, 3.0442337e-05, 0.0001511314, 0.00038227826, 0.1894804, 0.23011297, 0.02400216, 0.026325133, 0.19182244, 0.00069897796, 0.0322957, 0.01400206, 0.0015850925, 6.848253e-05, 0.008445563, 0.0024580786, 0.00039282197, 0.0026971472]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what are the reasons for the us stock market to be be ##ha ##ving in a cyclic ##al fashion since the 2020 election ?'
GOLD SEQ: 	 b'what are the reasons for the us stock market to be be ##ha ##ving in a cyclic ##al fashion since the 2020 election ?'
PRED SEQ:	 b'what are the reasons for the us stock market to be neutral in a cyclic ##al fashion since the 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.074894235, 0.036000334, 0.063468896, 0.0032431262, 0.0003754362, 0.00013801594, 0.002601093, 0.00035562587, 4.4407887e-05, 0.0010416216, 0.0012902685, 0.6771208, 0.78800976, 0.5967052, 0.0001554185, 0.00040957998, 0.055045974, 0.01555442, 0.0044483417, 0.03538126, 0.007497108, 0.0041678017, 0.016284365, 0.009878353]
GOLD TOK: 	 []
PRED TOK: 	 [['neutral']]
################################################################################
IN SEQ: 	 b'do you think bid ##en could win again in 202 ##4 ?'
GOLD SEQ: 	 b'do you think bid ##en could win again in 202 ##4 ?'
PRED SEQ:	 b'do you think bid ##en could win again in 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1268433, 0.586532, 0.06623128, 0.0012511648, 0.0003408283, 0.01711766, 0.06186433, 0.122336216, 0.00021189869, 0.001483945, 9.758661e-05, 0.0026255657]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what do you say for mike pen ##ce who wants to run for president ?'
GOLD SEQ: 	 b'what do you say for mike pen ##ce who wants to run for president ?'
PRED SEQ:	 b'what do you say for mike pen ##ce who wants to run for president ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.017094987, 0.0009535767, 0.002395419, 0.011324908, 0.014209656, 0.00081202225, 9.85099e-05, 0.0001781009, 0.15010858, 0.2807677, 0.00068595045, 0.052141584, 0.0045150532, 0.2660224, 0.0016236997]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'democratic polls ##ters acknowledge major errors in 2020 polling and still have no idea why trump almost won again after their polls showed him and republicans way behind in swing states ?'
GOLD SEQ: 	 b'democratic polls ##ters acknowledge major errors in 2020 polling and still have no idea why trump almost won again after their polls showed him and republicans way behind in swing states ?'
PRED SEQ:	 b'democratic polls ##ters claim that major errors in 2020 polling and still have no idea why trump almost won again after their polls showed him and republicans way behind in swing states ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.011739875, 0.00019712279, 0.00068801804, 0.5178513, 0.14254598, 0.0058236574, 1.9301277e-05, 0.0003114191, 6.462239e-05, 3.9754203e-05, 0.071237504, 0.00023568257, 2.6914522e-05, 0.00011324842, 8.8825946e-05, 0.0001028833, 0.012495435, 0.00015637148, 0.0005521004, 1.5842172e-05, 0.00027537122, 1.0430121e-05, 6.69487e-05, 0.00013070148, 1.4354346e-05, 0.0011169321, 0.0031001552, 2.168635e-05, 6.911305e-06, 0.0016526318, 5.078526e-05, 0.00018106021]
GOLD TOK: 	 []
PRED TOK: 	 [['claim', 'that']]
################################################################################
IN SEQ: 	 b"do you think it is fair for my ##pi ##llo ##w to shoulder as much backlash and responsibility as its ceo mike lin ##dell for the latter ' s allegations of election fraud in the 2020 u . s . presidential elections ?"
GOLD SEQ: 	 b"do you think it is fair for my ##pi ##llo ##w to shoulder as much backlash and responsibility as its ceo mike lin ##dell for the latter ' s allegations of election fraud in the 2020 u . s . presidential elections ?"
PRED SEQ:	 b"do you think it is fair for my ##pi ##llo ##w to shoulder as much backlash and responsibility as its ceo mike lin ##dell for the latter ' s allegations of election fraud in the 2020 u . s . presidential elections ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08500823, 0.20106639, 0.05576243, 0.0010876092, 0.004304196, 0.007901989, 0.00016842985, 0.06915552, 0.046977405, 0.027392173, 0.021613205, 0.0002149404, 0.04963662, 0.00090194424, 0.014752083, 0.015697725, 0.0007214332, 0.045495268, 8.988027e-05, 0.018244293, 0.003342805, 0.00011650167, 3.257829e-05, 3.8464983e-05, 0.012600259, 0.0001427624, 0.04566183, 0.00059472816, 0.013972373, 0.16035075, 0.0012332769, 0.0010933387, 0.013983907, 0.00026513904, 0.00015031034, 0.00077113154, 0.00057744276, 0.00020731185, 0.0005037111, 0.00036039331, 0.00018742142, 0.00017400975, 0.0017511684]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why is it that when trump \' s admire ##rs claim that there was " massive fraud " in the 2020 election , they never respond to a request to show some of it ?'
GOLD SEQ: 	 b'why is it that when trump \' s admire ##rs claim that there was " massive fraud " in the 2020 election , they never respond to a request to show some of it ?'
PRED SEQ:	 b'why is it that when trump \' s claim that there was " massive fraud " in the 2020 election , they never respond to a request to show some of it ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.009682197, 8.951879e-05, 0.00015460083, 0.0001692835, 0.00012574249, 4.3529737e-05, 4.68596e-06, 2.0465899e-05, 0.8865302, 0.5759097, 0.039576657, 3.583591e-06, 5.756167e-05, 2.1518596e-05, 8.21856e-06, 0.0037037113, 0.00020034595, 3.336149e-06, 7.664783e-06, 7.3021433e-06, 0.00017135343, 1.6644322e-05, 4.5936954e-06, 0.0023166246, 0.0030135293, 3.44652e-05, 1.9407182e-06, 6.692621e-06, 3.6927388e-05, 5.304723e-06, 0.0027454721, 0.000118277196, 3.4772997e-06, 9.440354e-05, 0.00016102967]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump has said that there is no way he loses the election without fraud .'
GOLD SEQ: 	 b'trump has said that there is no way he loses the election without fraud .'
